"est_codigo","est_codigo_origem","est_ins_codigo","est_municipio","est_nome","est_altitude","est_dt_inst","est_dt_ult_atual","est_dt_inicio_ativ","est_dt_fim_ativ","est_rua","est_cep","est_fone","est_localizacao","est_comentario","est_tipo_estacao","est_modelo","est_geom_sad69","est_geom"
5727,"B850F632",1,2305407,"Jaguaribe - Brum disdrômetro",165,"2014-08-12",,"2014-08-12","2017-08-16",,,,,"Disdrômetro do BRUM.",5,1,"01010000A0C310000023DBF97E6A5443C094F947DFA4C918C00000000000000000","01010000A0E610000023DBF97E6A5443C094F947DFA4C918C00000000000000000"
5838,"B851AA66",1,2303709,"Caucaia - Tucunduba",51,"2018-01-25",,"2018-01-25","2018-01-25","Estrada Tucunduba, Caucaia, CE",,,,,4,1,"01010000A0C31000007500C45DBD6043C01E32E54350F50EC00000000000000000","01010000A0E61000007500C45DBD6043C01E32E54350F50EC00000000000000000"
5839,"B8519FFC",1,2303956,"Chorozinho",49,"2018-01-25",,"2018-01-25",,"Rua Manoel Gonzaga da Silva, 28-148, Chorozinho, CE","62875-000",,,,4,1,"01010000A0C31000007E569929AD3F43C0F583BA48A12C11C00000000000000000","01010000A0E61000007E569929AD3F43C0F583BA48A12C11C00000000000000000"
24748,"B8518C8A",1,2304400,"Fortaleza - Henrique Jorge",30,"2018-01-11",,"2019-02-03",,"Av. Senador Virgílio Távora, 1555 - Henrique Jorge","60510-290",,"Residência Particular","Contato: Mário Rodrigues Pinto de Sousa Filho",4,1,"01010000A0C310000054E23AC6154B43C0F8C264AA60140EC00000000000000000","01010000A0E610000054E23AC6154B43C0F8C264AA60140EC00000000000000000"
35319,"CEL0001",1,2304400,"Fortaleza - Praia do Futuro",8,"2019-11-11",,"2019-11-11",,,,,"Cagece - Rua Francisco Delgado Perdigão s/n",,3,1,,"01010000A0E61000000D7217618A3843C00CC85EEFFE180EC00000000000000000"
35742,"CEL0002",1,2307601,"Limoeiro do Norte",143,"2020-09-02",,"2020-09-02",,,,,"Fazenda Banesa",,3,1,,"01010000A0E610000072DBBE47FDF742C09273620FEDC314C00000000000000000"
35851,"B8526876",1,2301307,"Araripe - Chapada Cruz do Monte",659,"2022-03-01",,"2022-04-09",,,,,"Chapada Cruz do Monte. Contato: Thiago Carvalho Mendes",,1,1,"01010000A0C3100000DF4F8D976E1244C0DB5C489A52D11CC00000000000000000","01010000A0E6100000DF4F8D976E1244C0DB5C489A52D11CC00000000000000000"
35852,"B8527B00",1,2302107,"Baturité - APA",168,"2022-03-01",,"2022-04-05",,,,,"Propriedade da prefeitura. Contato sr. Wagner",,1,1,"01010000A0C3100000F6285C8FC26D43C015A9A508D26111C00000000000000000","01010000A0E6100000F6285C8FC26D43C015A9A508D26111C00000000000000000"
35853,"B852AD68",1,2304202,"Crato - Sede",539,"2022-03-01",,"2022-04-10",,,,,"IFCE rod. CE-292, s/n. Contato: Marquinho Goes",,1,1,"01010000A0C31000007C81BB28C9B843C0EA89FA3742D91CC00000000000000000","01010000A0E61000007C81BB28C9B843C0EA89FA3742D91CC00000000000000000"
35854,"B852BE1E",1,2305357,"Icapuí - Fazenda Agrícola Famosa",51,"2022-03-01",,"2022-05-02",,,,,"Fazenda Formosa. Contato: Carlos Rocha",,1,1,"01010000A0C3100000B13FC850D9AD42C0D5ADB4EE5B5C13C00000000000000000","01010000A0E6100000B13FC850D9AD42C0D5ADB4EE5B5C13C00000000000000000"
35855,"B852FD14",1,2306801,"Jaguaribara",141,"2022-03-01",,"2022-04-06",,,,,"Fazenda Mandacaru. Contato: sr. Alysandro",,1,1,"01010000A0C3100000CECA58A9EF3843C0C8FB84C626BC15C00000000000000000","01010000A0E6100000CECA58A9EF3843C0C8FB84C626BC15C00000000000000000"
35856,"B851E96C",1,2308401,"Missão Velha - Jamacaru",442,"2022-03-01",,"2022-04-12",,,,,"Sítio Barreiro. Contato: Daniel Crato",,1,1,"01010000A0C3100000A3033029EFA943C0C0320D4EF5221DC00000000000000000","01010000A0E6100000A3033029EFA943C0C0320D4EF5221DC00000000000000000"
35857,"B8530F6A",1,2308708,"Morada Nova - Fazenda Itaueira",84,"2022-03-01",,"2022-04-20",,,,,"Fazenda Itaueira.",,1,1,"01010000A0C3100000CAD4E5F6073143C0B5600BB6608B12C00000000000000000","01010000A0E6100000CAD4E5F6073143C0B5600BB6608B12C00000000000000000"
35858,"B850A89C",1,2312304,"São Benedito - Sítio Ingazeira",844,"2022-03-01",,"2022-04-28",,,,,"Sítio Ingazeira. Contato: Gleidson (Sec. de Agricultura)",,1,1,"01010000A0C31000005B22B514417A44C0F1A224738EF60FC00000000000000000","01010000A0E61000005B22B514417A44C0F1A224738EF60FC00000000000000000"
35859,"B8522B7C",1,2312403,"São Gonçalo do Amarante - Jardim Botânico",25,"2022-03-01",,"2022-04-20",,,,,"Jardim Botânico - Pecém. Contato: sra. Jeanete",,1,1,"01010000A0C3100000D073474E887143C0C6DCB5847C900CC00000000000000000","01010000A0E6100000D073474E887143C0C6DCB5847C900CC00000000000000000"
35860,"B851FA1A",1,2313955,"Varjota",196,"2022-03-01",,"2022-04-28",,,,,"DNOCS. Contato: José Brum",,1,1,"01010000A0C3100000B0814E1BE84044C04328A3B765AD10C00000000000000000","01010000A0E6100000B0814E1BE84044C04328A3B765AD10C00000000000000000"
