Item,Nome,Código,Município,Código do município,Instituição,Macrorregião,Latitude,Longitude,Altitude,Variáveis coletadas,data_inicial,data,data_final,ativo,frequencia,Tipo,Fornecedor,Modelo_do_sensor: radiação,Modelo_do_sensor: dir_vel_vento,modelo_do_sensor: temp_umidade,modelo_do_sensor: pressão,modelo_do_sensor: pluv,modelo_do_sensor: temp_solo,modelo_do_sensor: fluxo calor solo,modelo_do_sensor: umidade_solo,Datalogger,Bateria,Controlador de carga,modelo_do_sensor: supressor de transiente,Tipo da torre,Painel solar,Comunicação,Área,manutencao,n_patrimonio,financiamento,link 
36,Piquet Carneiro - Tataíra,4722,Piquet Carneiro ,2310902,FUNCEME-SDA,Sertão Central e Inhamuns,-5.820195 ,-39.371194 ,286.1,"2, 3, 4, 6, 14, 17, 22, 23, 30, 37, 50, 51, 54, 55, 56, 57, 58, 100",SI,,,sim,1h,,Campbell,CMP6,Windsonic Gill,HMP 155A Vaisala,61302V YOUNG,PluvDb Dual base,108L Campbell,HFP01- Hukseflux,CS650 Campbell,CR1000 Campbell,"12 V, 55Ah",,Clamper series 900 e 800,Alumínio 10m,20 Watts,TX 321 Campbell,Particular,,,,
37,Piquet Carneiro - Logradouro,4723,Piquet Carneiro ,2310902,FUNCEME-SDA,Sertão Central e Inhamuns,-5.860278,-39.463972,264.1,"2, 3, 4, 6, 14, 17, 22, 23, 30, 17, 50, 51, 54, 55, 56, 57, 58, 100",SI,,,SI,1h,,Campbell,CMP6,Windsonic Gill,HMP 155A Vaisala,61302V YOUNG,PluvDb Dual base,108L Campbell,HFP01- Hukseflux,CS650 Campbell,CR1000 Campbell,"12 V, 55Ah",,Clamper series 900 e 800,Alumínio 10m,20 Watts,TX 321 Campbell,Particular,,,,
38,Piquet Carneiro - Mororó,4725,Piquet Carneiro ,2310902,FUNCEME-SDA,Sertão Central e Inhamuns,-5.943668,-39.534333,304.2,"2, 3, 4, 6, 14, 17, 22, 23, 30, 37, 50, 51, 54, 55, 56, 57, 58, 100",SI,,,sim,1h,,Campbell,CMP6,Windsonic Gill,HMP 155A Vaisala,61302V YOUNG,PluvDb Dual base,108L Campbell,HFP01- Hukseflux,CS650 Campbell,CR1000 Campbell,"12 V, 55Ah",,Clamper series 900 e 800,Alumínio 10m,20 Watts,TX 321 Campbell,Particular,,,,
39,Piquet Carneiro - Ema dos Marinheiros,4724,Piquet Carneiro ,2310902,FUNCEME-SDA,Sertão Central e Inhamuns,-5.953926,-39.487857 ,319.8,"2, 3, 4, 6, 14, 17, 22, 23, 30, 37, 50, 51, 54, 55, 56, 57, 58, 100",SI,,07/08/2021 20:50:52 UTC,,1h,,Campbell,CMP6,Windsonic Gill,HMP 155A Vaisala,61302V YOUNG,PluvDb Dual base,108L Campbell,HFP01- Hukseflux,CS650 Campbell,CR1000 Campbell,"12 V, 55Ah",,Clamper series 900 e 800,Alumínio 10m,20 Watts,TX 321 Campbell,Particular,,,,
40,Poranga,70,Ararendá ,2310902,FUNCEME,Ibiapaba,-4.745612,-40.874083,793.8,"2, 6, 14, 18, 19, 21,  22, 31, 39",SI,,SI,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
41,Quixeramobim (BEER),,Quixeramobim,,FUNCEME,Sertão Central e Inhamuns,-5.1233,-39.1822,265.7,,SI,,21/08/2020 19:33:32 UTC,,,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Particular,,,,
42,Quixeré,24,Quixeré ,2311504,FUNCEME,Jaguaribana,-5.084087,-37.856859,133.5,"2,  6, 14, 18, 19, 21, 22, 31, 39, 50, 51",01/08/2004,,21/01/2021 12:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
43,Redenção,4705,Redenção ,2311603,FUNCEME,Maciço do Baturité,-4.19234 ,-38.799701 ,221.4,"2, 3, 4, 6, 9, 14, 17,  22, 30, 31, 51, 52, 52, 100",SI,,,sim,1h,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Pública - Cogerh,,,,
44,Russas,62,Limoeiro do Norte ,2307601,FUNCEME,Jaguaribana,-5.04166666667 ,-38.1191666667 ,85.4,"2, 6, 14, 19, 21,  22, 31, 39, 50, 51",SI,,03/09/2021 06:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Pública - Dnocs,,,,
45,Santa Quitéria,35,Santa Quitéria,2312205,FUNCEME,Sertão Central e Inhamuns,-4.309777,-40.176695,189.8,"2, 6, 14, 18, 19, 21,  22, 31, 39",17/08/2004,,SI,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Pública - DAS,,,,
46,São Benedito,36,São Benedito,2312304,FUNCEME,Ibiapaba,-4.0247222222222 ,-40.910833333333 ,"
876.9","2, 6, 14, 18, 19, 21, 22, 31, 39, 50, 51",17/08/2004,,16/08/2021 12:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
47,São Gonçalo do Amarante,18,São Gonçalo do Amarante,2312403,FUNCEME,Litoral do Pecem,-3.65 ,-38.942222222222 ,,a pcd de São Gonçalo do Amarente não consta no site do monitoramento/supervisorio,,,,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
48,Solonópole,66,Solonópole ,2313005,FUNCEME,Sertão Central e Inhamuns,-5.691308,-38.950946,140.8,"2, 6, 14, 19, 21, 22, 31, 39,  50, 51, ",SI,,05/06/2018 15:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Pública - Cogerh,,,,
49,Tejuçuoca,4709,Tejuçuoca,2313351,FUNCEME,Litoral do Pecem,-4.048159,-39.530293,145.9,"2, 3, 4, 6, 9, 14, 17, 22, 54, 100",SI,,SI,,,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Particular,,,,
50,Varjota,1154,Varjota,,FUNCEME,Ibiapaba,-4.1697,-40.5075,197.7,,SI,,,sem transmissor ,,,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
51,Várzea Alegre,72,Várzea Alegre,,FUNCEME,Cariri,-6.7922,-39.3728,343.6,"2, 6, 14, 19, 21, 22, 31, 39, 50, 51",SI,,,sim,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Pública - Cogerh,,,,
52,Viçosa do Ceará,4707,Viçosa do Ceará,,FUNCEME,Ibiapaba,-3.5692,-41.3661,374.2,"2, 3, 4,  6, 9,14, 17,  22, 30, 31, 51, 52, 54, 100",20/08/2004,,,sim,1h,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Particular,,,,
