"Item","Nome","Código","Município","Código dos municípios","Instituição","Macrorregião","Latitude","Longitude","Altitude","Variáveis coletadas","data_inicial","data","data_final","ativo","frequencia","Tipo","Fornecedor","Modelo_do_sensor: radiação","Modelo_do_sensor: dir_vel_vento","modelo_do_sensor: temp_umidade","modelo_do_sensor: pressão","modelo_do_sensor: pluv","modelo_do_sensor: temp_solo","modelo_do_sensor: fluxo calor solo","modelo_do_sensor: umidade_solo","Datalogger","Bateria","Controlador de carga","modelo_do_sensor: supressor de transiente","Tipo da torre","Painel solar","Comunicação","Área","manutencao","n_patrimonio","financiamento"
,"COREAU-AC. ANGICOS ",82,"Coreau",2304004,"FUNCEME","Ibiapaba","-3.63722222","-40.81805556","SI","31, 50, 39, 51, 22, 21, 19, 18, 14, 6, 2","2008 - 6",,"2014 - 11","sim","3h   (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,,
,"Coreau",1218,"Coreau",2304004,"FUNCEME","Ibiapaba","-3.52535555","-40.7088277","SI","100, 17, 51, 22, 14, 39, 2, 6, 50, ","2015 - 12",,"2019 - 10","não","15 min","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3849,
,"CRATEUS",69,"Crateus",2304103,"FUNCEME","Sertao Central e Inhamuns","-5.28305556","-40.67388889","SI","50, 6, 2, 39, 14, 22, 51","2017 - 11",,"2017 - 11","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3850,
,"Cuandu - Quixeramobim 5 (DISD) ",5726,"Quixeramobim",2311405,"FUNCEME","Sertao Central e Inhamuns","-5.353281","-39.575837","SI","100, 50, 60, 59, 51, 22, 17","2017 - 03",,"2021 - ","sim","1 h",,,,,,,,,,,,,,,,,,,,,
,"Cuandu - Quixeramobim 6 (PCD) ",4712,"Quixeramobim",2311405,"FUNCEME","Sertao Central e Inhamuns","-5.353274","-39.575942","SI","100, 54, 52, 51, 31, 30, 22, 17, 14, 9, 6, 4, 3, 2","2014 - 08",,"2019 - 07","sim","1 h",,,,,,,,,,,,,,,,,,,,,
,"Defesa Civil Estadual ",1216," Fortaleza",2304400,"FUNCEME","Litoral de Fortaleza","-3.724325","-38.54021944","SI","100, 17, 22","2015 - 12",,"2021 - ","sim","15 min",,,,,,,,,,,,,,,,,,,,,
,"Fortaleza Defesa Civil ",955," Fortaleza",2304400,"FUNCEME","Litoral de Fortaleza","-3.724325","-38.54021944","SI","22, 17","2014 - 04",,"2020 - ","sim","15 min",,,,,,,,,,,,,,,,,,,,,
,"GROAIRAS",31,"Groairas",2304905,"FUNCEME","Ibiapaba","-3.91","-40.37777778","SI","31, 22, 21, 14, 19, 6, 2","2006 - 01",,"2013 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3842,
,"Henrique Jorge",24748," Fortaleza",2304400,"FUNCEME","Litoral de Fortaleza","-3.75995","-38.586602","SI","100, 22, 17","2019 - 02",,"2021 - ","sim","15 min",,,,,,,,,,,,,,,,,,,,,
,"IBARETAMA",49,"Ibaretama",2305266,"FUNCEME","Sertao Central e Inhamuns","-4.82666667","-38.83083333","SI","31, 39, 22, 18, 21, 14, 19, 6, 2","2009 - 08",,"2014 -","sim","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,,
,"ICAPUI",22,"Icapui",2305357,"FUNCEME","Jaguaribana","-4.73222222","-37.30583333","SI","31, 39, 22, 21, 19, 18, 14, 6, 2","2006 - 01",,"2014 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3843,
,"ICO",40,"Ico",2305407,"FUNCEME","Jaguaribana","-6.42722222","-38.92277778","SI","50, 51, 31, 39, 22, 18, 21, 19, 14, 6, 2","2016 - 08",,"2020 - ","sim","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,,
,"IGUATU",50,"Iguatu",2305506,"FUNCEME","Sertao Central e Inhamuns","-6.39583333","-39.27111111","SI","50, 39, 51, 31, 22, 18, 21, 19, 14, 6, 2","2016 - 12",,"2018 -","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3824,
,"Ipu ",1179,"Ipu",2305803,"FUNCEME","Ibiapaba","-4.24115278","-40.73402222","SI","100, 22, 17, 51, 31, 50, 39, 22, 21, 19, 18, 14, 6, 2","2015 - 03 ",,"2018 - 03","sim","15 min",,,,,,,,,,,,,,,,,,,,,
,"IRAUCUBA",51,"Irauçuba",2306108,"FUNCEME","Litoral do Pecem","-3.78027778","-39.77472222","SI","31, 39, 22, 18, 21, 14, 19, 6, 2","2006 - 01 ",,"2014 -10","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3857,
,"ITAICABA",63,"Itaicaba",2306207,"FUNCEME","Jaguaribana","-4.73416667","-37.84805556","SI","31, 39, 22, 21, 19, 18, 14, 6, 2","2006 - 01",,"2014 -","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,3825,
,"ITAPIPOCA",33,"Itapipoca",2306405,"FUNCEME","Litoral do Pecem","-3.57333333","-39.62777778","SI","31, 39, 22, 21, 19, 18, 14, 6, 2","2006 - 01",,"2014 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,5401,
